tid,rid,date,year,start_time,end_time,birds_seen,points_surveyed
34,1227,1977-06-13T22:00:00Z,1977,17:51:00,17:51:00,169,20
35,1227,1978-06-14T22:00:00Z,1978,17:38:00,17:38:00,164,20
36,1228,1977-05-26T22:00:00Z,1977,10:19:00,10:19:00,133,20
37,1229,1978-06-13T22:00:00Z,1978,04:15:00,04:15:00,82,14
38,1230,1978-05-20T22:00:00Z,1978,04:30:00,04:30:00,122,9
39,1230,1979-05-23T22:00:00Z,1979,04:30:00,04:30:00,119,9
40,1231,1978-05-31T22:00:00Z,1978,05:45:00,05:45:00,89,10
41,1231,1979-06-03T22:00:00Z,1979,05:30:00,05:30:00,83,10
42,1231,1980-06-06T22:00:00Z,1980,06:15:00,06:15:00,77,10
43,1232,1978-05-26T22:00:00Z,1978,05:10:00,05:10:00,166,20
44,1232,1979-05-27T22:00:00Z,1979,05:10:00,05:10:00,177,20
45,1232,1980-06-13T22:00:00Z,1980,06:20:00,06:20:00,187,20
46,1232,1981-05-26T22:00:00Z,1981,06:30:00,06:30:00,180,20
47,1232,1982-05-17T22:00:00Z,1982,05:40:00,05:40:00,156,20
48,1232,1983-05-22T22:00:00Z,1983,05:10:00,05:10:00,173,20
49,1232,1984-06-08T22:00:00Z,1984,05:15:00,05:15:00,182,20
50,1232,1985-06-01T22:00:00Z,1985,05:15:00,05:15:00,170,20
51,1232,1986-05-30T22:00:00Z,1986,05:15:00,09:30:00,148,20
52,1232,1987-05-24T22:00:00Z,1987,06:00:00,10:10:00,131,20
53,1232,1988-05-27T22:00:00Z,1988,06:00:00,10:15:00,144,20
54,1232,1989-05-27T22:00:00Z,1989,06:00:00,10:15:00,52,17
55,1232,1990-05-25T22:00:00Z,1990,06:00:00,10:15:00,129,20
56,1232,1991-05-18T22:00:00Z,1991,06:00:00,10:30:00,113,20
57,1232,1993-05-26T22:00:00Z,1993,06:00:00,10:30:00,127,20
58,1233,1978-06-02T22:00:00Z,1978,04:00:00,04:00:00,123,10
59,1233,1979-06-09T22:00:00Z,1979,04:00:00,04:00:00,111,10
60,1233,1980-06-04T22:00:00Z,1980,05:00:00,05:00:00,118,10
61,1233,1981-06-07T22:00:00Z,1981,05:00:00,05:00:00,114,10
62,1233,1982-06-09T22:00:00Z,1982,05:10:00,05:10:00,110,10
63,1234,1978-05-27T22:00:00Z,1978,06:28:00,06:28:00,100,10
64,1234,1979-05-26T22:00:00Z,1979,06:50:00,06:50:00,88,10
65,1234,1980-05-23T22:00:00Z,1980,07:09:00,07:09:00,79,10
66,1235,1978-05-27T22:00:00Z,1978,06:00:00,06:00:00,68,9
67,1236,1978-06-11T22:00:00Z,1978,18:30:00,18:30:00,124,10
68,1236,1979-06-14T22:00:00Z,1979,19:00:00,19:00:00,90,10
69,1237,1978-05-14T22:00:00Z,1978,05:00:00,05:00:00,187,20
70,1237,1979-05-19T22:00:00Z,1979,03:25:00,03:25:00,155,20
71,1237,1980-05-12T22:00:00Z,1980,04:30:00,04:30:00,213,20
72,1237,1981-05-15T22:00:00Z,1981,05:05:00,05:05:00,220,20
73,3794,1978-06-18T22:00:00Z,1978,03:15:00,03:15:00,148,20
74,1239,1978-05-26T22:00:00Z,1978,06:15:00,06:15:00,162,20
75,1239,1979-05-30T22:00:00Z,1979,05:50:00,05:50:00,156,20
76,1240,1978-06-02T22:00:00Z,1978,05:30:00,05:30:00,421,20
77,1240,1979-06-02T22:00:00Z,1979,05:30:00,05:30:00,236,20
78,1241,1978-06-10T22:00:00Z,1978,04:45:00,04:45:00,177,19
79,1241,1979-06-10T22:00:00Z,1979,04:30:00,04:30:00,129,20
80,1242,1978-06-03T22:00:00Z,1978,06:00:00,06:00:00,224,20
81,1242,1979-06-03T22:00:00Z,1979,00:00:00,00:00:00,154,20
82,1243,1978-06-12T22:00:00Z,1978,04:30:00,04:30:00,166,20
83,1244,1978-05-31T22:00:00Z,1978,05:45:00,05:45:00,152,20
84,1244,1979-06-05T22:00:00Z,1979,06:00:00,06:00:00,130,20
85,1245,1978-06-15T22:00:00Z,1978,04:00:00,04:00:00,156,20
86,1245,1979-06-18T22:00:00Z,1979,04:00:00,04:00:00,229,20
87,1246,1979-06-14T22:00:00Z,1979,05:00:00,05:00:00,99,9
88,1246,1980-06-08T22:00:00Z,1980,06:00:00,06:00:00,127,9
89,1246,1981-06-15T22:00:00Z,1981,06:00:00,06:00:00,118,9
90,1246,1982-06-14T22:00:00Z,1982,05:30:00,05:30:00,158,9
91,1247,1979-06-11T22:00:00Z,1979,07:00:00,07:00:00,100,20
92,1248,1979-06-11T22:00:00Z,1979,04:00:00,04:00:00,44,5
93,1249,1979-06-05T22:00:00Z,1979,04:00:00,04:00:00,35,4
94,5,1980-06-04T22:00:00Z,1980,03:45:00,03:45:00,234,20
95,5,1983-06-05T22:00:00Z,1983,04:20:00,04:20:00,237,20
96,5,1984-05-30T22:00:00Z,1984,04:20:00,04:20:00,249,20
97,5,1985-05-25T22:00:00Z,1985,04:25:00,04:25:00,229,20
98,5,1986-05-24T22:00:00Z,1986,04:25:00,08:23:00,246,20
99,5,1987-05-29T22:00:00Z,1987,04:12:00,08:10:00,232,20
100,5,1988-05-26T22:00:00Z,1988,04:02:00,07:44:00,238,20
101,5,1989-05-18T22:00:00Z,1989,04:16:00,07:48:00,248,20
102,5,1990-05-16T22:00:00Z,1990,04:25:00,07:48:00,258,20
103,5,1992-05-26T22:00:00Z,1992,04:00:00,07:44:00,260,20
104,5,1993-05-22T22:00:00Z,1993,04:10:00,07:45:00,249,20
105,5,1994-06-20T22:00:00Z,1994,04:20:00,08:20:00,253,20
106,5,1995-05-22T22:00:00Z,1995,03:50:00,09:35:00,248,20
107,5,1996-05-24T22:00:00Z,1996,04:08:00,08:06:00,238,20
108,5,1997-05-24T22:00:00Z,1997,04:03:00,07:52:00,225,20
109,5,1998-05-17T22:00:00Z,1998,04:12:00,07:44:00,243,20
110,5,1999-05-18T22:00:00Z,1999,04:18:00,07:56:00,258,20
111,5,2000-05-18T22:00:00Z,2000,04:15:00,07:54:00,249,20
112,5,2001-05-24T22:00:00Z,2001,04:05:00,07:52:00,238,20
113,5,2002-05-20T22:00:00Z,2002,04:16:00,07:52:00,238,20
114,1250,1981-06-12T22:00:00Z,1981,11:45:00,11:45:00,95,20
115,7,1982-05-19T22:00:00Z,1982,05:45:00,05:45:00,172,20
116,7,1983-05-20T22:00:00Z,1983,05:45:00,05:45:00,183,20
117,7,1984-05-17T22:00:00Z,1984,05:39:00,05:39:00,168,20
118,7,1985-05-16T22:00:00Z,1985,05:32:00,05:32:00,153,20
119,7,1986-05-18T22:00:00Z,1986,05:32:00,08:34:00,158,20
120,7,1987-05-15T22:00:00Z,1987,05:43:00,08:37:00,181,20
121,7,1988-05-20T22:00:00Z,1988,05:42:00,08:37:00,166,20
122,7,1989-05-14T22:00:00Z,1989,05:32:00,08:28:00,170,20
123,7,1990-05-18T22:00:00Z,1990,05:44:00,08:38:00,195,20
124,7,1991-05-17T22:00:00Z,1991,05:40:00,08:33:00,184,20
125,7,1992-05-15T22:00:00Z,1992,05:42:00,08:36:00,171,20
126,7,1993-05-20T22:00:00Z,1993,05:43:00,08:37:00,167,20
127,7,1994-05-16T22:00:00Z,1994,05:29:00,08:18:00,174,20
128,7,1995-05-19T22:00:00Z,1995,05:48:00,08:38:00,170,20
129,7,1996-05-16T22:00:00Z,1996,05:33:00,08:22:00,152,20
130,7,1997-05-14T22:00:00Z,1997,05:37:00,08:29:00,176,20
131,7,1998-05-15T22:00:00Z,1998,05:19:00,08:13:00,163,20
132,7,1999-05-21T22:00:00Z,1999,05:17:00,08:20:00,145,20
133,7,2000-05-18T22:00:00Z,2000,05:36:00,08:37:00,172,20
134,7,2001-05-15T22:00:00Z,2001,05:15:00,08:12:00,179,20
135,7,2002-05-17T22:00:00Z,2002,05:36:00,08:38:00,166,20
136,5,1982-06-01T22:00:00Z,1982,04:10:00,04:10:00,192,20
137,1252,1983-06-04T22:00:00Z,1983,06:05:00,06:05:00,190,20
138,1252,1984-06-01T22:00:00Z,1984,07:05:00,07:05:00,189,20
139,1252,1985-06-01T22:00:00Z,1985,06:03:00,06:03:00,189,20
140,1253,1983-06-06T22:00:00Z,1983,07:05:00,07:05:00,259,20
141,1253,1984-06-07T22:00:00Z,1984,06:55:00,06:55:00,318,20
142,1253,1985-06-14T22:00:00Z,1985,06:55:00,06:55:00,256,20
143,1253,1987-06-03T22:00:00Z,1987,07:30:00,11:15:00,195,20
144,1253,1988-06-09T22:00:00Z,1988,06:50:00,10:40:00,194,20
145,8,1983-06-10T22:00:00Z,1983,07:44:00,07:44:00,164,20
146,8,1984-06-13T22:00:00Z,1984,07:50:00,07:50:00,149,20
147,8,1985-06-08T22:00:00Z,1985,07:57:00,07:57:00,134,20
148,8,1986-06-14T22:00:00Z,1986,07:11:00,10:30:00,176,20
149,8,1987-06-06T22:00:00Z,1987,07:22:00,11:03:00,207,20
150,8,1988-06-11T22:00:00Z,1988,07:14:00,10:33:00,184,20
151,8,1989-06-12T22:00:00Z,1989,08:08:00,11:25:00,159,20
152,8,1990-06-15T22:00:00Z,1990,07:34:00,10:42:00,161,20
153,8,1991-06-14T22:00:00Z,1991,07:14:00,10:08:00,179,20
154,8,1992-06-13T22:00:00Z,1992,07:55:00,10:50:00,148,20
155,8,1993-06-12T22:00:00Z,1993,07:34:00,10:54:00,162,20
156,1254,1983-06-11T22:00:00Z,1983,05:05:00,05:05:00,186,20
157,1254,1984-06-11T22:00:00Z,1984,05:04:00,05:04:00,150,20
158,1254,1985-06-06T22:00:00Z,1985,05:26:00,05:26:00,179,20
159,1255,1983-05-27T22:00:00Z,1983,05:20:00,05:20:00,187,20
160,1255,1985-05-25T22:00:00Z,1985,05:10:00,05:10:00,229,20
161,1256,1984-05-14T22:00:00Z,1984,06:45:00,06:45:00,153,20
162,1256,1985-05-18T22:00:00Z,1985,06:00:00,06:00:00,158,20
163,1256,1986-05-19T22:00:00Z,1986,06:15:00,09:30:00,136,20
164,1256,1987-05-22T22:00:00Z,1987,06:20:00,10:10:00,156,20
165,10,1984-06-06T22:00:00Z,1984,20:30:00,20:30:00,174,20
166,10,1985-06-03T22:00:00Z,1985,20:30:00,20:30:00,164,20
167,10,1986-06-09T22:00:00Z,1986,20:30:00,22:12:00,180,20
168,10,1987-06-10T22:00:00Z,1987,04:10:00,05:30:00,182,20
169,10,1988-06-06T22:00:00Z,1988,03:55:00,05:33:00,172,20
170,10,1989-06-02T22:00:00Z,1989,20:47:00,05:46:00,182,20
171,10,1990-06-09T22:00:00Z,1990,20:10:00,05:18:00,195,20
172,10,1992-06-07T22:00:00Z,1992,20:54:00,22:38:00,185,20
173,10,1993-06-08T22:00:00Z,1993,04:10:00,05:55:00,197,20
174,10,1994-06-07T22:00:00Z,1994,04:10:00,05:55:00,203,20
175,10,1995-06-09T22:00:00Z,1995,20:45:00,22:24:00,172,20
176,10,1996-06-05T22:00:00Z,1996,03:58:00,05:32:00,185,20
177,10,1997-06-03T22:00:00Z,1997,20:40:00,22:28:00,177,20
178,10,1999-06-06T22:00:00Z,1999,03:57:00,05:29:00,195,20
179,10,2000-06-04T22:00:00Z,2000,20:30:00,22:08:00,178,20
180,10,2001-06-09T22:00:00Z,2001,04:00:00,09:00:00,211,20
181,10,2002-06-05T22:00:00Z,2002,20:38:00,22:14:00,189,20
182,1257,1984-06-06T22:00:00Z,1984,06:07:00,06:07:00,106,20
183,1257,1985-06-08T22:00:00Z,1985,05:03:00,05:03:00,136,20
184,1258,1984-06-10T22:00:00Z,1984,06:00:00,06:00:00,93,20
185,1259,1984-05-30T22:00:00Z,1984,12:30:00,12:30:00,162,20
186,1259,1985-05-29T22:00:00Z,1985,12:20:00,12:20:00,150,20
187,1259,1986-06-05T22:00:00Z,1986,12:15:00,12:15:00,137,20
188,1259,1987-06-03T22:00:00Z,1987,12:35:00,15:25:00,136,20
189,1260,1984-06-04T22:00:00Z,1984,12:55:00,12:55:00,133,20
190,1260,1985-06-05T22:00:00Z,1985,12:50:00,12:50:00,131,20
191,12,1984-05-20T22:00:00Z,1984,07:33:00,07:33:00,142,20
192,12,1985-05-17T22:00:00Z,1985,07:05:00,07:05:00,197,20
193,12,1986-05-18T22:00:00Z,1986,07:03:00,10:23:00,172,20
194,12,1987-05-16T22:00:00Z,1987,07:03:00,10:17:00,171,20
195,12,1988-05-19T22:00:00Z,1988,07:13:00,10:41:00,148,20
196,12,1989-05-14T22:00:00Z,1989,07:17:00,10:28:00,167,20
197,12,1990-05-17T22:00:00Z,1990,07:33:00,10:51:00,165,20
198,12,1991-05-14T22:00:00Z,1991,07:27:00,10:31:00,113,20
199,12,1992-05-17T22:00:00Z,1992,07:25:00,10:42:00,125,20
200,12,1993-05-14T22:00:00Z,1993,07:03:00,10:10:00,142,20
201,12,1994-05-19T22:00:00Z,1994,07:30:00,10:48:00,117,20
202,12,1995-05-18T22:00:00Z,1995,07:37:00,10:59:00,112,20
203,12,1996-05-16T22:00:00Z,1996,07:34:00,10:39:00,115,20
204,12,1997-06-20T22:00:00Z,1997,07:34:00,10:31:00,84,20
205,12,1998-05-17T22:00:00Z,1998,07:30:00,10:42:00,113,20
206,12,1999-05-16T22:00:00Z,1999,07:27:00,10:39:00,96,20
207,12,2000-05-17T22:00:00Z,2000,07:40:00,11:04:00,91,20
208,12,2001-05-20T22:00:00Z,2001,07:23:00,10:48:00,93,20
209,12,2002-05-20T22:00:00Z,2002,07:25:00,10:44:00,68,20
210,13,1984-06-01T22:00:00Z,1984,04:45:00,04:45:00,148,20
211,13,1985-05-25T22:00:00Z,1985,04:31:00,04:31:00,175,20
212,13,1986-05-31T22:00:00Z,1986,04:46:00,09:00:00,161,20
213,13,1987-05-29T22:00:00Z,1987,04:40:00,07:30:00,177,20
214,13,1988-05-27T22:00:00Z,1988,04:33:00,07:15:00,141,20
215,13,1989-05-25T22:00:00Z,1989,04:20:00,07:05:00,145,20
216,13,1990-05-31T22:00:00Z,1990,04:24:00,07:27:00,173,20
217,13,1991-05-28T22:00:00Z,1991,04:30:00,07:36:00,132,20
218,13,1992-05-27T22:00:00Z,1992,04:29:00,07:28:00,133,20
219,13,1993-05-30T22:00:00Z,1993,04:33:00,07:39:00,137,20
220,13,1994-05-26T22:00:00Z,1994,04:20:00,07:38:00,134,20
221,13,1995-06-01T22:00:00Z,1995,04:24:00,07:32:00,117,20
222,13,1996-05-26T22:00:00Z,1996,04:32:00,07:45:00,132,20
223,13,1997-06-27T22:00:00Z,1997,04:30:00,07:51:00,120,20
224,13,1998-05-28T22:00:00Z,1998,04:26:00,07:49:00,139,20
225,13,1999-05-30T22:00:00Z,1999,04:26:00,07:56:00,145,20
226,13,2000-05-31T22:00:00Z,2000,04:28:00,07:46:00,125,20
227,13,2001-05-30T22:00:00Z,2001,04:15:00,07:42:00,136,20
228,13,2002-05-27T22:00:00Z,2002,04:21:00,07:43:00,105,20
229,14,1984-06-08T22:00:00Z,1984,04:51:00,04:51:00,185,20
230,14,1985-06-04T22:00:00Z,1985,04:41:00,04:41:00,180,20
231,14,1986-06-06T22:00:00Z,1986,04:35:00,07:48:00,171,20
232,14,1987-06-05T22:00:00Z,1987,04:37:00,07:53:00,190,20
233,14,1988-06-03T22:00:00Z,1988,04:45:00,07:57:00,181,20
234,14,1989-06-09T22:00:00Z,1989,04:47:00,08:04:00,200,20
235,14,1990-06-07T22:00:00Z,1990,04:47:00,07:55:00,176,20
236,14,1991-06-05T22:00:00Z,1991,04:34:00,07:34:00,163,20
237,14,1992-06-05T22:00:00Z,1992,04:36:00,07:50:00,165,20
238,14,1993-05-05T22:00:00Z,1993,04:35:00,07:47:00,150,20
239,14,1994-06-03T22:00:00Z,1994,04:44:00,08:07:00,177,20
240,14,1995-06-09T22:00:00Z,1995,04:35:00,07:44:00,136,20
241,14,1996-06-04T22:00:00Z,1996,04:27:00,07:39:00,153,20
242,14,1997-06-03T22:00:00Z,1997,04:29:00,07:47:00,149,20
243,14,1998-06-04T22:00:00Z,1998,04:36:00,07:57:00,135,20
244,14,1999-06-05T22:00:00Z,1999,04:37:00,08:04:00,159,20
245,14,2000-06-08T22:00:00Z,2000,04:36:00,07:55:00,152,20
246,14,2001-06-05T22:00:00Z,2001,04:32:00,07:55:00,149,20
247,14,2002-06-02T22:00:00Z,2002,04:30:00,07:51:00,122,20
248,15,1984-06-10T22:00:00Z,1984,06:00:00,06:00:00,124,20
249,15,1985-06-14T22:00:00Z,1985,06:00:00,06:00:00,132,20
250,15,1986-06-14T22:00:00Z,1986,06:30:00,09:45:00,151,20
251,15,1987-06-12T22:00:00Z,1987,06:15:00,09:10:00,156,20
252,15,1988-06-18T22:00:00Z,1988,07:30:00,09:50:00,126,20
253,15,1989-06-17T22:00:00Z,1989,06:30:00,09:30:00,148,20
254,15,1991-06-15T22:00:00Z,1991,06:45:00,09:30:00,124,20
255,1261,1984-06-09T22:00:00Z,1984,05:00:00,05:00:00,193,18
256,1262,1984-06-07T22:00:00Z,1984,06:00:00,06:00:00,133,20
257,1263,1984-06-08T22:00:00Z,1984,04:35:00,04:35:00,148,20
258,1264,1984-05-30T22:00:00Z,1984,04:15:00,04:15:00,196,20
259,1265,1984-06-04T22:00:00Z,1984,04:00:00,04:00:00,147,20
260,1265,1985-06-04T22:00:00Z,1985,04:00:00,04:00:00,155,20
261,1265,1987-06-07T22:00:00Z,1987,04:00:00,07:30:00,142,20
262,1265,1988-06-09T22:00:00Z,1988,04:00:00,07:30:00,155,20
263,1266,1984-05-28T22:00:00Z,1984,08:00:00,08:00:00,134,20
264,1267,1985-05-26T22:00:00Z,1985,05:30:00,05:30:00,112,20
265,1267,1986-05-23T22:00:00Z,1986,05:25:00,08:45:00,164,20
266,1267,1987-05-22T22:00:00Z,1987,05:35:00,08:48:00,169,20
267,1267,1988-05-21T22:00:00Z,1988,05:29:00,08:55:00,163,20
268,1267,1989-05-20T22:00:00Z,1989,05:30:00,09:00:00,158,20
269,1267,1990-05-23T22:00:00Z,1990,05:19:00,08:53:00,134,20
270,1267,1991-05-25T22:00:00Z,1991,05:50:00,09:13:00,170,20
271,1267,1992-05-22T22:00:00Z,1992,05:25:00,08:53:00,153,20
272,1267,1993-05-25T22:00:00Z,1993,05:46:00,09:04:00,160,20
273,1267,1994-05-26T22:00:00Z,1994,05:15:00,08:39:00,153,20
274,1267,1995-05-22T22:00:00Z,1995,05:30:00,08:58:00,139,20
275,1267,1996-05-21T22:00:00Z,1996,05:13:00,08:57:00,148,20
276,1268,1985-06-01T22:00:00Z,1985,05:45:00,05:45:00,161,20
277,1268,1986-06-06T22:00:00Z,1986,05:26:00,08:45:00,181,20
278,1268,1987-05-29T22:00:00Z,1987,05:20:00,08:40:00,172,20
279,1268,1988-05-28T22:00:00Z,1988,05:30:00,09:10:00,137,20
280,1268,1989-06-03T22:00:00Z,1989,05:35:00,08:57:00,177,20
281,1268,1990-06-04T22:00:00Z,1990,05:20:00,08:44:00,161,20
282,1268,1991-06-04T22:00:00Z,1991,05:22:00,08:54:00,145,20
283,1268,1992-05-27T22:00:00Z,1992,05:26:00,09:15:00,157,20
284,1268,1993-05-05T22:00:00Z,1993,05:23:00,08:37:00,153,20
285,1268,1994-05-27T22:00:00Z,1994,05:23:00,08:54:00,140,20
286,1268,1995-06-02T22:00:00Z,1995,05:24:00,08:43:00,141,20
287,1268,1996-06-02T22:00:00Z,1996,05:28:00,09:14:00,138,20
288,21,1985-05-17T22:00:00Z,1985,07:30:00,07:30:00,88,20
289,21,1986-05-17T22:00:00Z,1986,07:30:00,13:00:00,88,20
290,21,1987-05-23T22:00:00Z,1987,07:30:00,10:30:00,76,19
291,21,1988-05-21T22:00:00Z,1988,07:00:00,10:15:00,92,20
292,21,1989-05-24T22:00:00Z,1989,07:30:00,10:15:00,89,19
293,21,1990-05-18T22:00:00Z,1990,07:00:00,09:30:00,122,20
294,21,1991-05-17T22:00:00Z,1991,06:30:00,09:50:00,100,20
295,21,1992-05-17T22:00:00Z,1992,07:00:00,09:30:00,103,19
296,21,1993-05-20T22:00:00Z,1993,06:00:00,08:30:00,88,20
297,21,1995-05-26T22:00:00Z,1995,07:00:00,08:50:00,72,18
298,21,1996-05-21T22:00:00Z,1996,07:30:00,09:30:00,80,19
299,21,1997-05-17T22:00:00Z,1997,06:10:00,08:10:00,50,18
300,21,1998-05-25T22:00:00Z,1998,07:00:00,09:30:00,77,19
301,21,1999-05-23T22:00:00Z,1999,07:00:00,09:00:00,32,17
302,52,1985-06-04T22:00:00Z,1985,05:05:00,05:05:00,187,20
303,52,1986-06-04T22:00:00Z,1986,05:20:00,09:05:00,138,20
304,52,1987-06-04T22:00:00Z,1987,05:10:00,08:50:00,176,20
305,52,1988-06-10T22:00:00Z,1988,05:15:00,09:30:00,128,20
306,52,1989-06-05T22:00:00Z,1989,05:09:00,09:15:00,168,20
307,52,1990-06-04T22:00:00Z,1990,05:03:00,09:05:00,191,20
308,1270,1985-06-01T22:00:00Z,1985,05:15:00,05:15:00,215,20
309,1270,1987-06-04T22:00:00Z,1987,05:00:00,07:50:00,194,20
310,1271,1985-05-31T22:00:00Z,1985,06:08:00,06:08:00,152,20
311,1271,1986-05-30T22:00:00Z,1986,06:00:00,09:10:00,140,20
312,1271,1987-05-29T22:00:00Z,1987,06:06:00,09:06:00,166,20
313,1271,1989-05-25T22:00:00Z,1989,05:49:00,08:41:00,140,20
314,1272,1986-05-30T22:00:00Z,1986,06:50:00,10:00:00,112,20
315,1272,1987-05-30T22:00:00Z,1987,06:50:00,10:00:00,110,20
316,1272,1988-05-30T22:00:00Z,1988,06:50:00,10:00:00,115,20
317,1273,1986-06-06T22:00:00Z,1986,04:00:00,07:00:00,125,20
318,1273,1987-06-05T22:00:00Z,1987,04:00:00,07:30:00,143,20
319,1273,1988-06-04T22:00:00Z,1988,04:00:00,07:30:00,143,20
320,28,1987-05-29T22:00:00Z,1987,05:20:00,09:00:00,205,20
321,28,1988-05-27T22:00:00Z,1988,05:00:00,08:45:00,196,20
322,28,1989-05-27T22:00:00Z,1989,04:30:00,08:16:00,195,20
323,28,1990-06-04T22:00:00Z,1990,05:30:00,09:30:00,232,20
324,28,1991-06-05T22:00:00Z,1991,05:24:00,08:50:00,240,20
325,28,1992-05-30T22:00:00Z,1992,05:03:00,10:40:00,281,20
326,28,1994-05-29T22:00:00Z,1994,05:18:00,10:40:00,255,20
327,1274,1987-06-12T22:00:00Z,1987,04:50:00,06:30:00,56,10
328,39,1988-05-22T22:00:00Z,1988,04:27:00,08:54:00,145,20
329,1275,1987-05-28T22:00:00Z,1987,05:45:00,09:30:00,146,20
330,31,1987-05-29T22:00:00Z,1987,04:20:00,08:50:00,176,20
331,31,1988-05-28T22:00:00Z,1988,04:20:00,08:10:00,163,20
332,31,1989-05-27T22:00:00Z,1989,04:15:00,08:20:00,183,20
333,31,1990-05-29T22:00:00Z,1990,04:20:00,08:25:00,182,20
334,31,1991-05-29T22:00:00Z,1991,04:20:00,08:30:00,196,20
335,31,1992-05-28T22:00:00Z,1992,04:25:00,08:40:00,193,20
336,31,1993-05-27T22:00:00Z,1993,04:20:00,08:36:00,201,20
337,31,1994-06-03T22:00:00Z,1994,04:20:00,08:35:00,200,20
338,31,1995-05-25T22:00:00Z,1995,04:25:00,08:26:00,191,20
339,31,1996-05-31T22:00:00Z,1996,04:20:00,08:12:00,195,20
340,31,1997-05-29T22:00:00Z,1997,04:30:00,08:17:00,204,20
341,31,1998-05-28T22:00:00Z,1998,04:20:00,08:12:00,209,20
342,31,1999-06-05T22:00:00Z,1999,04:20:00,08:33:00,221,20
343,31,2000-05-24T22:00:00Z,2000,04:20:00,08:20:00,215,20
344,31,2001-06-03T22:00:00Z,2001,04:25:00,08:22:00,214,20
345,31,2002-06-02T22:00:00Z,2002,04:35:00,08:23:00,199,20
346,1276,1987-06-12T22:00:00Z,1987,06:00:00,10:40:00,117,20
347,1276,1988-06-15T22:00:00Z,1988,05:40:00,10:15:00,165,20
348,1276,1989-06-09T22:00:00Z,1989,05:10:00,09:30:00,132,20
349,1277,1987-06-06T22:00:00Z,1987,04:00:00,07:00:00,102,20
350,1277,1988-06-03T22:00:00Z,1988,04:45:00,07:15:00,105,20
351,1277,1989-06-02T22:00:00Z,1989,04:00:00,07:00:00,199,20
352,1278,1987-06-06T22:00:00Z,1987,04:30:00,08:45:00,189,16
353,1279,1988-06-10T22:00:00Z,1988,05:00:00,07:15:00,88,20
354,1279,1989-06-09T22:00:00Z,1989,05:00:00,07:00:00,102,20
355,36,1989-06-01T22:00:00Z,1989,05:00:00,09:10:00,231,20
356,36,1990-06-01T22:00:00Z,1990,05:07:00,09:05:00,194,20
357,36,1991-06-06T22:00:00Z,1991,04:55:00,08:35:00,198,20
358,36,1992-05-31T22:00:00Z,1992,04:55:00,09:00:00,215,20
359,36,1993-06-02T22:00:00Z,1993,05:00:00,09:00:00,216,20
360,36,1994-06-01T22:00:00Z,1994,05:00:00,09:00:00,215,20
361,36,1995-06-03T22:00:00Z,1995,05:00:00,09:20:00,218,20
362,36,1996-06-06T22:00:00Z,1996,05:00:00,08:50:00,220,20
